districtID,district,ln_gdppc2010,ln_gdppc2018,g
1222,Labuhanbatu Selatan,9.2853737,10.88669,1.6013165
1223,Labuanbatu Utara,9.2224617,10.72493,1.5024681
1224,Nias Utara,8.3180237,9.6969557,1.378932
1225,Nias Barat,8.1539555,9.5783482,1.4243927
1271,Sibolga,9.1246872,10.56795,1.4432631
1272,Tanjungbalai,9.1536655,10.36042,1.2067547
1273,Pematangsiantar,9.1251917,10.49611,1.3709183
1274,Tebing Tinggi,9.0510387,10.04889,0.99785137
1275,Medan,9.8166542,11.08782,1.2711658
1276,Binjai,9.0701265,10.24511,1.174983
1277,Padangsidimpuan,8.5470772,9.8229122,1.275835
1278,Gunungsitoli,8.8956385,10.04067,1.1450319
1301,Kepulauan Mentawai,10.17495,10.36805,0.19309998
1302,Pesisir Selatan,9.523632,9.8956842,0.37205219
1303,KabSolok,9.778141,10.14319,0.36504936
1304,Sijunjung,9.9234114,10.22483,0.3014183
1305,Tanah Datar,9.7846279,10.18715,0.40252209
1306,Padang Pariaman,9.9555826,10.35822,0.40263748
1307,Agam,9.8798571,10.26056,0.38070297
1308,Lima Puluh Kota,9.8726387,10.24273,0.37009144
1309,Pasaman,9.6270971,9.9602461,0.33314896
1310,Solok Selatan,9.742445,10.02258,0.28013515
1311,Dharmasraya,10.07099,10.30333,0.23234081
1312,Pasaman Barat,9.8488626,10.13016,0.28129768
1371,Padang,10.33722,10.71041,0.37318993
1372,Kota Solok,10.25257,10.57357,0.3210001
1373,Sawahlunto,10.29891,10.66691,0.36800003
1374,Padang Panjang,10.39027,10.7395,0.34922981
1375,Bukittinggi,10.38007,10.71759,0.3375206
1376,Payakumbuh,10.00066,10.3644,0.36373997
1377,Pariaman,10.2165,10.56977,0.35326958
1401,Kuantan Singingi,10.94454,11.15069,0.20615005
1402,Indragiri Hulu,10.94858,11.10223,0.15365028
1403,Indragiri Hilir,10.64176,10.9815,0.3397398
1404,Pelalawan,11.26609,11.18218,-0.083909988
1405,Siak,11.83703,11.60951,-0.22751999
1406,Kampar,10.90856,10.97943,0.070870399
1407,Rokan Hulu,10.41308,10.48865,0.075570107
1408,Bengkalis,12.04581,11.83154,-0.21426964
1409,Rokan Hilir,11.18169,11.10031,-0.08137989
1410,Kepulauan Meranti,10.80729,11.10854,0.3012495
1471,Pekanbaru,10.74031,11.01789,0.27758026
1473,Dumai,11.13581,11.25953,0.12372017
1501,Kerinci,9.6685534,10.15124,0.482687
1502,Merangin,9.7282925,10.06998,0.3416872
1503,Sarolangun,10.1745,10.45193,0.27742958
1504,Batanghari,9.6893158,10.213,0.5236845
1505,Muaro Jambi,10.20689,10.48111,0.27421951
1506,Tanjung Jabung Timur,11.03266,11.27781,0.24515057
1507,Tanjung Jabung Barat,13.44379,11.3986,-2.0451908
1508,Tebo,9.8596048,10.23346,0.37385559
1509,Bungo,10.04451,10.39888,0.35437012
1571,Kota Jambi,10.08759,10.34818,0.2605896
1572,Kota Sungai Penuh,10.35406,10.79668,0.44262028
1601,Ogan Komering Ulu,9.9235106,10.15293,0.22941971
