hc2_2010,hc2_2011,hc2_2012,hc2_2013,hc2_2014,hc2_2015,hc2_2016,hc2_2017,hc2_2018,id
2.0048716,2.0211365,2.0980954,2.117254,2.140908,2.175786,2.2157037,2.2404573,2.2861748,3312
2.3756237,2.4240992,2.5087886,2.6269934,2.6431201,2.6449177,2.6467168,2.6485174,2.6503191,3313
2.1430712,2.1474047,2.151747,2.2427213,2.279258,2.2815614,2.2838669,2.3234193,2.3660455,3314
2.1193936,2.1301236,2.140908,2.145237,2.1604576,2.1626406,2.2269211,2.2359362,2.2381957,3315
1.9847243,2.0437167,2.056139,2.0707276,2.0959775,2.1002157,2.1301236,2.1890113,2.1912234,3316
2.1236792,2.151747,2.1801856,2.2449875,2.2907975,2.2954295,2.297749,2.300071,2.3023951,3317
2.1087177,2.1151168,2.1236792,2.1495748,2.1670136,2.2472563,2.2746587,2.3328249,2.3565059,3318
2.4216521,2.4290009,2.4586194,2.4911139,2.5164018,2.5189447,2.5214901,2.6145186,2.6702178,3319
2.2045424,2.249527,2.3047218,2.3351824,2.3828328,2.387651,2.3900638,2.3924787,2.4167652,3320
2.2134669,2.2563534,2.2861748,2.3660455,2.4192076,2.4216521,2.4240992,2.4265487,2.4290009,3321
2.3422687,2.3612709,2.3708296,2.3804274,2.387651,2.3924787,2.4290009,2.5265884,2.5291417,3322
2.0896361,2.0980954,2.1087177,2.1193936,2.1301236,2.2045424,2.2112324,2.2907975,2.300071,3323
2.1151168,2.1430712,2.1692035,2.1823888,2.2067702,2.2314241,2.2336791,2.279258,2.3257673,3324
2.0129876,2.0211365,2.0293183,2.0665488,2.0917478,2.1801856,2.1823888,2.2246733,2.2269211,3325
2.0770113,2.1002157,2.1236792,2.1713953,2.2067702,2.2112324,2.2134669,2.2518003,2.2540758,3326
1.8793764,1.9274348,1.9907472,2.0334218,2.0644627,2.1002157,2.1023378,2.1582766,2.1604576,3327
2.0231791,2.0313692,2.0457819,2.0602968,2.0770113,2.1560979,2.2090001,2.2112324,2.2449875,3328
1.9080657,1.9371929,1.9647795,2.0252233,2.0623786,2.0665488,2.1279733,2.1301236,2.1322761,3329
2.9489229,2.9609792,2.9730844,2.9771309,2.9872704,2.9893022,2.9913356,2.9933705,2.9954066,3371
